angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,label
26.78710573055357,-130.9318824530157,-148.27854319444995,-153.21289426944645,-129.7673199015805,-146.75577144263866,43.26527969021313,-55.303165525538915,-63.82432663081612,42.547767247267565,-55.726507288236604,-62.61130125597874,Downdog
31.552544911442986,-42.89145136414397,-29.34370775528056,-148.447455088557,-45.68151267551387,-25.518357684198048,137.19303909874554,-126.26917861684811,-133.65408341044935,137.82448985864858,-130.04768937287562,-133.18078352044142,Downdog
-121.86085407827332,-54.536606678436115,-41.07399419715756,58.13914592172668,-53.461994307505734,-41.02279424996567,136.95744758056767,-128.29083846006444,-122.24811598656527,135.36307509060393,-128.57117753431098,-123.26695133912875,Downdog
-112.97097652199356,-43.71634234433854,-37.026547461070535,67.02902347800645,-43.94231492643432,-33.92781975133838,128.89517108247432,-122.53598199992601,-121.46178427046013,127.54357012417995,-124.45832670544748,-121.85115291069785,Downdog
-2.27467998463326,-127.36307405201063,-138.31026733322284,177.72532001536675,-124.38505672158955,-140.2057455264324,41.42528580994562,-54.34316916352727,-54.70339030223614,42.03747214766119,-52.53079687597009,-59.174572914978974,Downdog
-49.37547167950442,-134.6644759749454,-150.50863025704024,130.62452832049559,-136.6433218850177,-143.00995888718398,39.01563429089075,-52.982453585248194,-50.5376141757516,40.65945994861279,-52.57960330890199,-52.88193995539998,Downdog
-136.78423242721152,-42.023401877036314,-31.1629037920452,43.21576757278848,-45.84271811406264,-32.493836930978894,128.62895162680962,-116.81123551735153,-107.73598877617293,125.55077759116112,-116.74356187275413,-110.32458030057828,Downdog
128.08060583089647,-130.9658734998932,-147.23888828178943,-51.91939416910353,-125.31259846900434,-151.1577146589573,44.413651281932424,-55.22400821118572,-53.621746421630235,41.639461561513045,-56.414865704432444,-53.36725184985685,Downdog
-57.14947082593188,-122.79142007329384,-131.7384808197116,122.85052917406814,-116.44610406122669,-132.65729604859553,42.80899769373829,-51.45924762205124,-45.01516562901684,44.171726310504326,-50.34040329304957,-46.41509016218499,Downdog
-144.79938217835735,-59.58031270161752,-36.68000508143565,35.20061782164266,-60.660251022487685,-35.32737763037501,125.22303334762394,-120.4417105381535,-119.54857621221484,122.87426315729377,-122.51811939007905,-119.66047789993023,Downdog
